Code,LocalAuthority,Year,Indicator,Numerator,Denominator
C&L01,Dundee City,2016-17,2.28,3527,1549737
C&L01,Dundee City,2017-18,2.46,3489,1420163
C&L01,Dundee City,2018-19,2.42,3493,1440918
C&L01,Dundee City,2019-20,2.75,4068,1479913
C&L01,Dundee City,2020-21,22.87,3750,163975
C&L01,Dundee City,2021-22,5.61,6199,1104663
C&L01,Dundee City,2022-23,4.96,5420,1092020
C&L01,Dundee City,2023-24,4.89,7208,1473248
C&L01,Dundee City,2024-25,3.96,7237,1825404
C&L01,East Ayrshire,2010-11,2.11,2511,1190983
C&L01,East Ayrshire,2011-12,1.47,1888,1285555
C&L01,East Ayrshire,2012-13,1.5,2205,1471880
C&L01,East Ayrshire,2013-14,0.94,1351,1432218
C&L01,East Ayrshire,2014-15,0.73,1028,1413807
C&L01,East Ayrshire,2015-16,0.68,956,1406069
C&L01,East Ayrshire,2016-17,0.95,1190,1250793
C&L01,East Ayrshire,2017-18,1.11,1174,1062279
C&L01,East Ayrshire,2018-19,0.73,741,1015005
C&L01,East Ayrshire,2019-20,0.76,703,919999
C&L01,East Ayrshire,2020-21,15.22,1349,88612
C&L01,East Ayrshire,2021-22,1.72,956,555172
C&L01,East Ayrshire,2022-23,1.8,1384,769253
C&L01,East Ayrshire,2023-24,1.65,1440,873013
C&L01,East Ayrshire,2024-25,1.78,1557,875784
C&L01,East Dunbartonshire,2010-11,2.65,2619,987719
C&L01,East Dunbartonshire,2011-12,3.07,3041,989884
C&L01,East Dunbartonshire,2012-13,2.68,2944,1097041
C&L01,East Dunbartonshire,2013-14,2.08,2470,1186183
C&L01,East Dunbartonshire,2014-15,2.13,2393,1120941
C&L01,East Dunbartonshire,2015-16,2.07,2292,1109187
C&L01,East Dunbartonshire,2016-17,2.22,2391,1076222
C&L01,East Dunbartonshire,2017-18,2.53,2533,1000961
C&L01,East Dunbartonshire,2018-19,2.31,2241,969461
C&L01,East Dunbartonshire,2019-20,2.44,2364,970019
C&L01,East Dunbartonshire,2020-21,86.56,2835,32752
C&L01,East Dunbartonshire,2021-22,4.48,2492,556414
C&L01,East Dunbartonshire,2022-23,2.98,2492,837636
C&L01,East Dunbartonshire,2023-24,2.73,2494,914277
C&L01,East Dunbartonshire,2024-25,2.46,2594,1054024
C&L01,East Lothian,2010-11,5.11,4732,926802
C&L01,East Lothian,2011-12,4.54,4466,983331
C&L01,East Lothian,2012-13,4.18,3992,954030
C&L01,East Lothian,2013-14,3.84,4110,1070528
C&L01,East Lothian,2014-15,4,4324,1080208
C&L01,East Lothian,2015-16,3.99,4656,1165619
C&L01,East Lothian,2016-17,3.33,4140,1242447
C&L01,East Lothian,2017-18,3.19,3957,1238894
